,Data do Anúncio,Ano,Trimestre,Data do Anúncio.1,Empresa alvo do investimento,Empresa(s) investidora(s),Real (em milhões),Dólar (em milhões),Valor Informado,Município,Região,Descrição do investimento,CNAE Empresa alvo do investimento,CNAE Empresa(s) investidora(s),Tipo Investimento,Período,Setor,Real,Dólar,FaixaValor,FaixaValorNome,SetorNome,RegiãoNro,klusterK3D,klusterBD3D
2354,2015-03-26,2015,1,2015-03-26,Provanza,Aromas e Sabores Araraquara,0.3,0.1,Sim,Araraquara,RA Central,"Abertura de loja especializada em cosméticos, perfumaria e chás no Shopping Jaraguá","4772-5 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","4772-5 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Implantação,2015 - 2015,1,300000.0,100000.0,1,P,Comércio,15,2,13
2355,2015-03-26,2015,1,2015-03-26,Lojas Renner,Lojas Renner,5.6,1.78,Sim,Araraquara,RA Central,Inauguração de loja de roupas e acessórios no Shopping Jaraguá Araraquara.,4781-4 - Comércio varejista de artigos do vestuário e acessórios,"4713-0 - Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",Implantação,... - 2015,1,5600000.0,1780000.0,3,M,Comércio,15,2,0
2356,2015-03-26,2015,1,2015-03-26,Passarela,Passarela Modas,1.3,0.41,Sim,Araraquara,RA Central,Abertura de loja de calçados no Shopping Jaraguá,4782-2 - Comércio varejista de calçados e artigos de viagem,4782-2 - Comércio varejista de calçados e artigos de viagem,Implantação,2015 - 2015,1,1300000.0,410000.0,3,M,Comércio,15,2,0
2357,2015-03-26,2015,1,2015-03-26,Cobasi,Cobasi Comércio de Produtos Básicos e Industrializados,2.0,0.64,Sim,Araraquara,RA Central,Inauguração de loja de pet shop no Shopping Jaraguá Araraquara,4789-0 - Comércio varejista de outros produtos novos não especificados anteriormente,4789-0 - Comércio varejista de outros produtos novos não especificados anteriormente,Implantação,2015 - 2015,1,2000000.0,640000.0,3,M,Comércio,15,2,0
2358,2015-02-21,2015,1,2015-02-21,América Latina Logística - ALL,América Latina Logística Malha Paulista,140.0,49.71,Sim,Araraquara,RA Central,"Abertura do contorno ferroviário, que liga Araraquara a Tutóia",4911-6 - Transporte ferroviário de carga,6462-0 - Holdings de instituições não-financeiras,Ampliação,2008 - 2015,5,140000000.0,49710000.0,7,GG,Infraestrutura,15,1,8
2359,2015-03-26,2015,1,2015-03-26,Ice by Nice,Ice by Nice Indústria e Comércio de Produtos Alimentícios,0.2,0.06,Sim,Araraquara,RA Central,Abertura de sorveteria no Shopping Jaraguá.,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,1053-8 - Fabricação de sorvetes e outros gelados comestíveis,Implantação,2015 - 2015,7,200000.0,60000.0,1,P,Serviços,15,0,14
2360,2015-03-20,2015,1,2015-03-20,Volkswagen,Volkswagen do Brasil Indústria de Veículos Automotores,900.0,286.7,Sim,São Carlos,RA Central,Instalação de tecnologia global para motores a TSI-Total Flex.,"2910-7 - Fabricação de automóveis, camionetas e utilitários","2910-7 - Fabricação de automóveis, camionetas e utilitários",Ampliação,2012 - 2018,3,900000000.0,286700000.0,7,GG,Indústria,15,3,17
2361,2015-03-31,2015,1,2015-03-31,Airship,Airship do Brasil  Indústria Aeronáutica,397.3,126.56,Sim,São Carlos,RA Central,Instalação de hangar para produção e desenvolvimento de dirigíveis,3041-5 - Fabricação de aeronaves,3041-5 - Fabricação de aeronaves,Implantação,2015 - ...,3,397300000.0,126560000.0,7,GG,Indústria,15,3,17
2362,2015-02-03,2015,1,2015-02-03,Avatim,S M Burgos  Alves da Silva,0.3,0.1,Sim,São Carlos,RA Central,Abertura de perfumaria especializada em essências no Shopping Iguatemi São Carlos,"4772-5 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","4772-5 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Implantação,2014 - 2014,1,300000.0,100000.0,1,P,Comércio,15,2,13
2363,2015-01-27,2015,1,2015-01-27,Santa Casa de São Carlos,Irmandade da Santa Casa de São Carlos,2.25,0.85,Sim,São Carlos,RA Central,Inauguração do acelerador linear Varian Unique no centro de radioterapia,8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Ampliação,2013 - 2015,7,2250000.0,850000.0,3,M,Serviços,15,0,4
